0,1,2,3
,"Degree-
Seeking
First-Time
First Year","Degree-
Seeking
Undergrad-
uates
(include first-
time first-
year)","Total
Undergrad-
uates (both
degree- and
non-degree-
seeking)"
International,192,787,899
Hispanic/Latino,224,802,811
"Black or African American, non-Hispanic",162,541,545
"White, non-Hispanic",643,"2,941","2,952"
"American Indian or Alaska Native, non-Hispanic",6,24,24
"Asian, non-Hispanic",301,"1,295","1,304"
"Native Hawaiian or other Pacific Islander, non-Hispanic",2,12,12
"Two or more races, non-Hispanic",136,506,510
Race and/or ethnicity unknown,39,217,292
TOTAL,"1,705","7,125","7,349"
