0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,112,439,448
Hispanic/Latino,113,430,431
"Black or African American, non-Hispanic",62,245,245
"White, non-Hispanic",508,"2,032","2,036"
"American Indian or Alaska Native, non-Hispanic",14,56,56
"Asian, non-Hispanic",162,629,632
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,4,4
"Two or more races, non-Hispanic",70,241,242
Race and/or ethnicity unknown,16,70,76
TOTAL,"1,057","4,146","4,170"
