0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-seeking)"
Nonresident aliens,172,584,595
Hispanic/Latino,226,719,721
"Black or African American, non-Hispanic",143,548,555
"White, non-Hispanic",670,"2,727","2,741"
"American Indian or Alaska Native, non-Hispanic",4,2 7,2 7
"Asian, non-Hispanic",329,"1,464","1,469"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,1,1
"Two or more races, non-Hispanic",135,438,441
Race and/or ethnicity unknown,65,307,333
TOTAL,"1,744","6,815","6,883"
