0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-seeking)"
Nonresident aliens,287,883,934
Hispanic/Latino,228,827,831
"Black or African American, non-Hispanic",186,665,665
"White, non-Hispanic",650,"2,530","2,533"
"American Indian or Alaska Native, non-Hispanic",5,16,16
"Asian, non-Hispanic",431,"1,555","1,555"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",4,7,7
"Two or more races, non-Hispanic",139,532,532
Race and/or ethnicity unknown,19,80,80
TOTAL,"1,949","7,095","7,153"
