0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,216,869,870
Hispanic/Latino,351,"1,176","1,178"
"Black or African American, non-Hispanic",154,515,517
"White, non-Hispanic",723,"3,339","3,341"
"American Indian or Alaska Native, non-Hispanic",2,6,6
"Asian, non-Hispanic",401,"1,739","1,741"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,1,1
"Two or more races, non-Hispanic",164,567,568
Race and/or ethnicity unknown,75,272,272
TOTAL,"2,086","8,484","8,494"
