0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,143,569,579
Hispanic/Latino,202,735,736
"Black or African American, non-Hispanic",88,376,376
"White, non-Hispanic",265,1208,1209
"American Indian or Alaska Native, non-Hispanic",1,6,6
"Asian, non-Hispanic",335,1346,1346
"Native Hawaiian or other Pacific Islander, non-Hispanic",0,4,4
"Two or more races, non-Hispanic",67,237,237
Race and/or ethnicity unknown,20,81,81
TOTAL,1121,4562,4574
