0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,313,"1,186","1,199"
Hispanic/Latino,332,"1,122","1,122"
"Black or African American, non-Hispanic",162,456,456
"White, non-Hispanic",626,"2,513","2,513"
"American Indian or Alaska Native, non-Hispanic",0,1,1
"Asian, non-Hispanic",374,"1,499","1,499"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,1,1
"Two or more races, non-Hispanic",141,525,525
Race and/or ethnicity unknown,105,210,210
TOTAL,"2,053","7,513","7,526"
