0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,117,472,472
Hispanic/Latino,177,707,707
"Black or African American, non-Hispanic",112,428,428
"White, non-Hispanic",416,"1,644","1,644"
"American Indian or Alaska Native, non-Hispanic",3,13,13
"Asian, non-Hispanic",353,"1,123","1,123"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",2,5,5
"Two or more races, non-Hispanic",76,293,293
Race and/or ethnicity unknown,8,18,18
TOTAL,"1,264","4,703","4,703"
