0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,"Another
Gender",Men,Women,"Another
Gender"
Undergraduates,,,,,,
"Degree-seeking, first-time",829,888,0,0,0,0
"Other first-year, degree-seeking",14,12,0,1,0,0
All other degree-seeking,"2,689","2,734",0,20,34,1
Total degree-seeking,"3,532","3,634",0,21,34,1
All other undergraduates enrolled in credit courses,6,17,0,116,278,0
Total undergraduates,"3,538","3,651",0,137,312,1
Graduate,,,,,,
"Degree-seeking, first-time",542,695,0,28,28,0
All other degree-seeking,"1,091","1,068",0,33,30,0
All other graduates enrolled in credit courses,0,0,0,12,23,0
Total graduate,"1,633","1,763",0,73,81,0
