0,1,2,3
,"Degree-
Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time first-
year)","Total
Undergraduates
(both degree- and non-
degree-seeking)"
International,197,886,"1,022"
Hispanic/Latino,230,886,902
"Black or African American, non-Hispanic",158,632,633
"White, non-Hispanic",525,"2,607","2,621"
"American Indian or Alaska Native, non-Hispanic",3,20,20
"Asian, non-Hispanic",410,"1,487","1,505"
"Native Hawaiian or other Pacific Islander, non-Hispanic",1,10,10
"Two or more races, non-Hispanic",140,588,590
Race and/or ethnicity unknown,31,157,438
TOTAL,"1,695","7,273","7,741"
