0,1,2,3,4
,FULL-TIME,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",127,98,0,0
"Other first-year, degree-seeking",2,2,0,0
All other degree-seeking,361,311,0,0
Total degree-seeking,490,411,0,0
"All other undergraduates
enrolled in credit courses",0,0,0,0
Total undergraduates,490,411,0,0
Graduate,,,,
"Degree-seeking, first-time",162,83,0,0
All other degree-seeking,750,344,0,0
"All other graduates enrolled in
credit courses",0,0,0,0
Total graduate,912,427,0,0
Total all students,"1,402",838,0,0
