0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-seeking)"
Nonresident aliens,21,68,68
Hispanic/Latino,38,163,163
"Black or African American, non-Hispanic",4,17,17
"White, non-Hispanic",48,211,211
"American Indian or Alaska Native, non-Hispanic",0,0,0
"Asian, non-Hispanic",89,358,358
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,1,1
"Two or more races, non-Hispanic",21,79,79
Race and/or ethnicity unknown,4,4,4
TOTAL,225,901,901
