0,1,2,3,4,5
,"Degree-seeking
First-time First
year","Degree-seeking
Undergraduates
(include first-time
first-year)",,Total,
,,,,Undergraduates,
,,,,(both degree- and,
,,,,non-degree-,
,,,,seeking),
Nonresident aliens,26,78,78.0,,
Hispanic/Latino,80,220,220.0,,
"Black or African American, non-Hispanic",12,25,25.0,,
"White, non-Hispanic",43,224,224.0,,
"American Indian or Alaska Native, non-Hispanic",1,1,1.0,,
"Asian, non-Hispanic",75,341,341.0,,
"Native Hawaiian or other Pacific Islander, non-
Hispanic",0,1,1.0,,
"Two or more races, non-Hispanic",33,93,93.0,,
Race and/or ethnicity unknown,0,4,4.0,,
Total,270,987,987.0,,
