0,1,2,3,4
reporting study abroad studen,ts please seFeU thLiLs -lTinIMk. E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",1067,986,0,0
"Other first-year, degree-seekin",g 85,61,1,1
All other degree-seeking,"2,788","2,524",0,0
Total degree-seeking,"3,940","3,571",1,1
"All other undergraduates
enrolled in credit courses",2,11,0,0
Total undergraduates,"3,942","3,582",1,1
Graduate,,,,
"Degree-seeking, first-time",1661,1680,540,350
All other degree-seeking,1085,981,1452,885
"All other graduates enrolled in
credit courses",2,2,68,42
Total graduate,2748,2663,2060,1277
Total all students,"6,690","6,245","2,061","1,278"
