0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time first-
year)","Total
Undergraduates (both
degree & non-degree-
seeking)"
Nonresidents,302,"1,195","1,211"
Hispanic/Latino,313,"1,278","1,278"
"Black or African American, non-Hispanic",115,520,520
"White, non-Hispanic",520,"2,308","2,308"
"American Indian or Alaska Native, non-Hispanic",1,2,2
"Asian, non-Hispanic",333,"1,475","1,475"
"Native Hawaiian or other Pacific Islander, non-Hispanic",0,1,1
"Two or more races, non-Hispanic",119,529,529
Race and/or ethnicity unknown,46,165,165
TOTAL,"1,749","7,473","7,489"
