0,1,2,3,4
B. ENROLLMENT AND PERSISTENCE,,,,
"B1. Institutional Enrollment - Men and Women, as of October 15, 2020",,,,
,FULL-TIME,,PART-TIME,
,Men,Women,Men,Women
Undergraduates,,,,
"Degree-seeking, first-time freshmen (Pittsburgh campus)",815,817,3,2
"Degree-seeking, first-time freshmen (Doha campus)",56,68,0,0
"Other first-year, degree-seeking",16,5,1,1
All other degree-seeking,"2,462","2,525",118,93
Total degree-seeking,"3,349","3,415",122,96
All other undergraduates enrolled in credit courses,0,0,52,39
Total Undergraduates,"3,349","3,415",174,135
Graduate,,,,
"Degree-seeking, first-time","1,267",805,230,170
All other degree-seeking,"2,603","1,481",348,157
All other graduates enrolled in credit courses,14,14,21,6
Total graduate,"3,884","2,300",599,333
