0,1,2,3
African. Enrollment by Racial/Ethnic Category,,,
,"Degree-seeking First
-time First-year,
Pittsburgh Campus","Degree-seeking Under-
graduates (include first-
time first-year),
All Campuses","Total Undergraduates
(both degree– and non-
degree-seeking),
All Campuses"
International (nonresident aliens),260,"1,473","1,495"
Hispanic/Latino,151,608,612
"Black or African-American, non-Hispanic",56,256,257
"White, non-Hispanic",367,"1,631","1,668"
"American Indian or Alaska Native, non-Hispanic",0,0,0
"Asian, non-Hispanic",622,"2,282","2,290"
"Native Hawaiian or other Pacific Islander, non-Hispanic",1,2,2
"Two or more races, non-Hispanic",72,277,280
Race and/or ethnicity unknown,108,453,469
Total,"1,637","6,982","7,073"
