0,1,2,3,4,5,6
African. Enrollment by Racial/Ethnic Category,,,,,,
,,,"Degree-seeking
First-time First-year,
Pittsburgh Campus","Degree-seeking
Undergraduates
(include first-time first-year),
All Campuses",,"Total
Undergraduates
(both degree– and
non-degree-seeking),
All Campuses"
International (nonresident aliens),,,387,"1,642",,"1,656"
Hispanic/Latino,,,206,674,,677
"Black or African-American, non-Hispanic",,,86,272,,273
"White, non-Hispanic",,,419,"1,616",,"1,639"
"American Indian or Alaska Native, non-Hispanic",,,0,0,,0
"Asian, non-Hispanic",,,582,"2,323",,"2,329"
"Native Hawaiian or other Pacific Islander, non-Hispanic",,,0,3,,3
"Two or more races, non-Hispanic",,,128,341,,341
Race and/or ethnicity unknown,,,88,437,,447
Total,,,"1,896","7,308",,"7,365"
"B3. Number of degrees awarded by your institution from July 1, 2020 to June 30, 2021",,,,,,
Certificate/diploma,,,Post-master’s certificates,,,
Bachelor’s degrees,"1,730",,Doctoral degrees—research/scholarship,,333.0,
Postbachelor’s certificates,50,,Doctoral degrees—professional practice,,,
Master’s degrees,"3,045",,Doctoral degrees—other,,,
