0,1,2,3,4,5,6,7,8,9,10
,,,,FULL-TIME PART-TIME,,,,,,
,,,,Men,,Women,Men,,,Women
Undergraduates,,,,,,,,,,
"Degree-seeking, first-time first-year (Pittsburgh campus)",,,,839,,877,0,,,0
"Degree-seeking, first-time first-year (Doha campus)",,,,44,,72,0,,,0
"Other first-year, degree-seeking",,,,14,,11,1,,,0
All other degree-seeking,,,,"2,670",,"2,749",82,,,88
Total degree-seeking,,,,"3,567",,"3,709",83,,,88
All other undergraduates enrolled in credit courses,,,,0,,0,41,,,21
Total Undergraduates,,,,"3,567",,"3,709",124,,,109
Graduate,,,,,,,,,,
"Degree-seeking, first-time",,,,"1,835",,"1,290",95,,,69
All other degree-seeking,,,,"3,336",,"1,960",374,,,247
All other graduates enrolled in credit courses,,,,20,,9,23,,,12
Total graduate,,,,"5,191",,"3,259",492,,,328
TOTAL ALL STUDENTS,,,,,,,,,,
"Total all undergraduates: Total all graduate: GRAND TOTAL ALL STUDENTS:
7,509 9,270 16,779",,,,,,,,,,
B2. Enrollment by Racial/Ethnic Category,,,,,,,,,,
,,,"Degree-seeking
First-time First-year,
Pittsburgh Campus",,"Degree-seeking
Undergraduates
(include first-time first-year),
All Campuses",,,,"Total
Undergraduates
(both degree– and
non-degree-seeking),
All Campuses",
International (nonresident ),,,324,,"1,769",,,,"1,784",
Hispanic/Latino,,,211,,734,,,,737,
"Black or African-American, non-Hispanic",,,78,,285,,,,286,
"White, non-Hispanic",,,356,,"1,530",,,,"1,551",
"American Indian or Alaska Native, non-Hispanic",,,2,,2,,,,2,
"Asian, non-Hispanic",,,569,,"2,366",,,,"2,372",
"Native Hawaiian or other Pacific Islander, non-Hispanic",,,2,,4,,,,4,
"Two or more races, non-Hispanic",,,89,,359,,,,361,
Race and/or ethnicity unknown,,,85,,398,,,,412,
Total,,,"1,716",,"7,447",,,,"7,509",
"B3. Number of degrees awarded by your institution from July 1, 2021 to June 30, 2022",,,,,,,,,,
Certificate/diploma,62,,Post-master’s certificates,,,,,,,
Bachelor’s degrees,"1,697",,Doctoral degrees—research/scholarship,,,,,361,,
Postbachelor’s certificates,,,Doctoral degrees—professional practice,,,,,,,
Master’s degrees,"2,780",,Doctoral degrees—other,,,,,,,
