0,1,2,3,4
,FULL-TIME,,PART-TIME,
,Men,Women,Men,Women
Undergraduate Students,Undergraduate Students,,,
"Degree-seeking, first-time freshmen students",759,800,1,0
"Other first-year, degree-seeking students",,,,
All other degree-seeking undergraduate students,"2,548","2,589",6,7
Total degree-seeking undergraduate students,"3,307","3,389",7,7
All other undergraduates enrolled in credit courses,,,,
Undergraduate Students,"3,307","3,389",7,7
Graduate Students,Graduate Students,,,
"Degree-seeking, first-time",,,,
All other degree-seeking,,,,
All other graduates enrolled in credit courses,,,,
Total Graduate Students2,"9,210","11,551","1,956","2,227"
Total All Students,"12,517","14,940","1,963","2,234"
