0,1,2,3,4,5,6,7
,"Degree-seeking
First-time First
year",,Degree-seeking,,,Total,
,,,Undergraduates,,,Undergraduates,
,,,,,,,
,,,(include first-time,,,(both degree- and,
,,,first-year),,,non-degree-seeking),
Nonresident aliens,202,"1,083",,,,,
Hispanic/Latino,272,"1,047",,,,,
"Black or African American, non-Hispanic",156,557,,,,,
"White, non-Hispanic",475,"2,014",,,,,
"American Indian or Alaska Native, non-Hispanic",6,30,,,,,
"Asian, non-Hispanic",311,"1,429",,,,,
"Native Hawaiian or other Pacific Islander, non-Hispanic",4,8,,,,,
"Two or more races, non-Hispanic",109,448,,,,,
Race and/or ethnicity unknown,25,94,,,,,
Total,"1,560","6,710",,,,,
