0,1,2,3
,"Degree-seeking
First-time First year","Degree-seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree and
non-degree-seeking)"
Nonresidents,232,"1,065",
Hispanic/Latino,286,"1,121",
"Black or African American, non-Hispanic",131,552,
"White, non-Hispanic",373,"1,915",
"American Indian or Alaska Native, non-Hispanic",6,25,
"Asian, non-Hispanic",287,"1,415",
"Native Hawaiian or other Pacific Islander, non-Hispanic",4,10,
"Two or more races, non-Hispanic",122,478,
Race and/or ethnicity unknown,22,87,
Total,"1,463","6,668",
