0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,"Another
Gender",Men,Women,"Another
Gender"
"Columbia College/Columbia
Engineering Undergraduate
Students",Undergraduate Students,,,,,
"Degree-seeking, first-time,
first-year students",694,728,32,0,0,0
"Other first-year,
degree-seeking students",,,,,,
"All other degree-seeking
undergraduate students","2,537","2,527",50,6,4,0
"Total degree-seeking Columbia
College/Columbia Engineering
undergraduate students","3,231","3,255",82,6,4,0
"All other undergraduates
enrolled in credit coursesb2","1,008",851,1,325,347,1
Total Undergraduate Students,"4,239","4,106",83,331,351,1
Graduate Students,Graduate Students,,,,,
"Degree-seeking, first-time",,,,,,
All other degree-seeking,"8,623","11,313",0,"2,458","2,718",0
"All other graduates
enrolled in credit courses",193,199,0,247,417,0
Total Graduate Students,"8,816","11,512",0,"2,705","3,135",0
Total All Students,"13,055","15,618",83,"3,036","3,486",1
