0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,365,"1,507","1,558"
Hispanic/Latino,583,"2,285","2,285"
"Black or African American, non-Hispanic",338,"1,129","1,129"
"White, non-Hispanic","1,160","5,265","5,265"
"American Indian or Alaska Native, non-Hispanic",14,43,43
"Asian, non-Hispanic",831,"3,350","3,350"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",7,19,19
"Two or more races, non-Hispanic",217,821,821
Race and/or ethnicity unknown,203,"1,032","1,033"
TOTAL,"3,718","15,451","15,503"
