0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,Another Gender,Men,Women,Another Gender
Undergraduates,,,,,,
"Degree-seeking, first-time,
first-year","1 ,570","1 ,921",0,0,0,0
"Other first-year, degree-seekin",g 1 9,2 4,0,1,0,0
All other degree-seeking,"5 ,378","6 ,473",0,27,17,0
Total degree-seeking,"6 ,967","8 ,418",0,28,17,0
All other undergraduates,1 66,1 36,0,1,2,0
Total undergraduates,"7 ,133","8 ,554",0,29,19,0
Graduate,,,,,,
"Degree-seeking, first-time","1 ,625","1 ,712",0,72,62,0
All other degree-seeking,"2 ,998","2 ,994",0,307,275,0
All other graduates enrolled in,4 5,6 3,0,4,6,0
Total graduate,"4 ,668","4 ,769",0,383,343,0
Total all students,"1 1,801","1 3,323",0,412,362,0
