0,1,2,3,4
,FULL-TIME,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",598,623,,
"Other first-year, degree-seeking",0,0,0,0
All other degree-seeking,"1,697","1,614",1,
Total degree-seeking,"2,295","2,237",1,0
"All other undergraduates enrolled
in credit courses",14,9,,
Total undergraduates,"2,309","2,246",1,0
Graduate,,,,
"Degree-seeking, first-time",459,454,10,4
All other degree-seeking,620,616,8,9
"All other graduates enrolled in
credit courses",15,8,,2
Total graduate,1094,1078,18,15
Total all students,"3,403","3,324",19,15
