0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-seeking)"
Nonresident aliens,166,528,540
Hispanic/Latino,128,453,454
"Black or African American, non-Hispanic",74,243,243
"White, non-Hispanic",573,"2,254","2,260"
"American Indian or Alaska Native, non-Hispanic",18,53,53
"Asian, non-Hispanic",154,642,643
"Native Hawaiian or other Pacific Islander, non-
Hispanic",,1,1
"Two or more races, non-Hispanic",90,279,279
Race and/or ethnicity unknown,18,80,83
TOTAL,"1,221","4,533","4,556"
