0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,125,594,626
Hispanic/Latino,180,629,629
"Black or African American, non-Hispanic",154,590,590
"White, non-Hispanic",482,"1,729","1,730"
"American Indian or Alaska Native, non-Hispanic",4,12,12
"Asian, non-Hispanic",337,"1,185","1,186"
"Native Hawaiian or other Pacific Islander, non-
Hispanic",2,4,4
"Two or more races, non-Hispanic",99,371,371
Race and/or ethnicity unknown,19,73,74
TOTAL,"1,402","5,187","5,222"
