0,1,2,3,4
,FULL-TIME,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",923,"1,026",,
"Other first-year, degree-seeking",38,29,,
All other degree-seeking,"2,562","2,517",,
Total degree-seeking,"3,523","3,572",0,0.0
"All other undergraduates
enrolled in credit courses",13,10,20,15.0
Total undergraduates,"3,536","3,582",20,15.0
Graduate,,,,
"Degree-seeking, first-time",2210,2756,150,189.0
All other degree-seeking,4002,4246,235,422.0
"All other graduates enrolled in
credit courses",61,62,45,46.0
Total graduate,6273,7064,430,657.0
Total all students,"9,809","10,646",450,672.0
