0,1,2,3,4
ti t d b d t d,t l FU thLiL -lTiIMk E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",606,814,0,0
"Other first-year, degree-seekin",g 2,3,0,0
All other degree-seeking,"2,038","2,256",7,1
Total degree-seeking,"2,646","3,073",7,1
"All other undergraduates
enrolled in credit courses",0,8,101,296
Total undergraduates,"2,646","3,081",108,297
Graduate,,,,
"Degree-seeking, first-time",1930,2700,1253,1397
All other degree-seeking,2980,3839,5370,5662
"All other graduates enrolled in
credit courses",27,52,257,450
Total graduate,4937,6591,6880,7509
Total all students,"7,583","9,672","6,988","7,806"
