0,1,2,3,4,5,6
,FULL-TIME,,,PART-TIME,,
,Men,Women,"Another
Gender",Men,Women,"Another
Gender"
Undergraduates,,,,,,
"Degree-seeking, first-time, first-
year",632,774,,,,
"Other first-year, degree-seeking",3,8,,,,
All other degree-seeking,"1,959","2,257",,8,2,
Total degree-seeking,"2,594","3,039",0,8,2,0
All other undergraduates,2,9,,111,279,
Total undergraduates,"2,596","3,048",0,119,281,0
Graduate,,,,,,
"Degree-seeking, first-time",1950,2503,,960,905,
All other degree-seeking,2984,3720,,5562,5889,
All other graduates enrolled in,31,56,,272,399,
Total graduate,"4,965","6,279",0,"6,794","7,193",0
Total all students,"7,561","9,327",0,"6,913","7,474",0
