0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time first-
year)","Total
Undergraduates
(both degree & non-
degree-seeking)"
Nonresidents,222,847,
Hispanic/Latino,295,"1,163",
"Black or African American, non-Hispanic",139,533,
"White, non-Hispanic",273,"1,124",
"American Indian or Alaska Native, non-Hispanic",4,8,
"Asian, non-Hispanic",363,"1,496",
"Native Hawaiian or other Pacific Islander, non-Hispanic",2,3,
"Two or more races, non-Hispanic",97,358,
Race and/or ethnicity unknown,23,86,
TOTAL,"1,418","5,618",0
