0,1,2
,First-Year,Undergraduates*
"PRIVATE INSTITUTIONS
Tuition:",,
"PUBLIC INSTITUTIONS
Tuition:
In-district",,
"PUBLIC INSTITUTIONS
In-state (out-of-district):","$15,850","$16,865"
"PUBLIC INSTITUTIONS
Out-of-state:","$52,904","$54,769"
"NONRESIDENT ALIENS
Tuition:","$52,904","$54,769"
,,
REQUIRED FEES (all students):,$328,$328
REQUIRED FEES (international students):,"$1,000 $1,000",
,,
"ROOM AND BOARD:
(on-campus)","$12,592","$12,592"
"ROOM ONLY:
(on-campus)",,
"BOARD ONLY:
(on-campus meal plan)",,
