0,1,2
"Total men who applied for first-time, first-year admission","43,607","sum = 87,632"
"Total women who applied for first-time, first-year admission","44,024",
"Total unknown sex who applied for first-time, first-year admission",1,
"Total men offered first-time, first-year admission","7,007","sum = 15,722
(18% of apps)"
"Total women offered first-time, first-year admission","8,715",
"Total full-time, first-time, first-year men who enrolled","3,397","sum = 3,417"
"Total part-time, first-time, first-year men who enrolled",20,
"Total full-time, first-time, first-year women who enrolled","4,029","sum = 4,049"
"Total part-time, first-time, first-year women who enrolled",20,
"Total full-time, first-time, first-year who enrolled","7,426","sum = 7,466 (47%
of adm)"
"Total part-time, first-time, first-year who enrolled",40,
