0,1,2,3
,First-Year,Undergraduates*,
PRIVATE INSTITUTIONS Tuition,,,
PUBLIC INSTITUTIONS Tuition(In-district),,,
PUBLIC INSTITUTIONS In-state,"$17,404","$18,516",
PUBLIC INSTITUTIONS Out-of-state,"$60,614","$62,749",
US nonresident Tuition,"$60,614","$62,749",
,,,
REQUIRED FEES (all students),$332,$332,
REQUIRED FEES (international students),"$1,000","$1,000",
,,,
FOOD AND HOUSING (on-campus),"$15,328","$15,328",
HOUSING ONLY (on-campus),,,
FOOD ONLY (on-campus meal plan),,,
"Comprehensive tuition and food and housing fee (if your college cannot
provide separate tuition and food and housing fees):",,n/a,
,,Minimum,Maximum
Number of credits per term a student can take for the stated full-time tuition,,12,18
"Do tuition and fees vary by year of study (e.g., sophomore, junior)?",,Yes,
Do tuition and fees vary by undergraduate instructional program?,,Yes,
"If yes, what percentage of full-time undergraduates pay more than the
tuition and fees reported in G1?",,37%,
