0,1,2,3,4
reporting study abroad studen,ts please seFe UthLiLs -lTinIMk. E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",,,,
"Other first-year, degree-seeking",,,,
All other degree-seeking,,,,
Total degree-seeking,"3,831","4,144",101,108
"All other undergraduates
enrolled in credit courses",,,,
Total undergraduates,"3,831","4,144",107,112
Graduate,,,,
"Degree-seeking, first-time",,,,
All other degree-seeking,,,,
"All other graduates enrolled in
credit courses",,,,
Total graduate,4633,4999,2136,2110
Total all students,"8,464","9,143","2,243","2,222"
