0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,"177
294
113
717
2
420
0
107
71",831,
Hispanic/Latino,,"1,062",
"Black or African American, non-Hispanic",,483,
"White, non-Hispanic",,"3,396",
"American Indian or Alaska Native, non-Hispanic",,7,
"Asian, non-Hispanic",,"1,604",
"Native Hawaiian or other Pacific Islander, non-
Hispanic",,2,
"Two or more races, non-Hispanic",,514,
Race and/or ethnicity unknown,,285,
TOTAL,"1,901","8,184","8,194"
