0,1
"FIRST-TIME, FIRST YEAR STUDENT APPLICANTS",TOTAL
"Total first-time, first-year men who applied","23,534"
"Total first-time, first-year women who applied","27,725"
"Total first-time, first-year of another gender who applied",2
"Total first-time, first-year men who were admitted","1,652"
"Total first-time, first-year women who were admitted","2,043"
"Total first-time, first-year of another gender who were admitted",0
"Total full-time, first-time, first-year men who enrolled",923
"Total part-time, first-time, first-year men who enrolled",0
"Total full-time, first-time, first-year women who enrolled","1,115"
"Total part-time, first-time, first-year women who enrolled",0
"Total full-time, first-time, first-year of another gender who enrolled",0
"Total part-time, first-time, first-year of another gender who enrolled",0
,
"Total first-time, first-year (degree-seeking) who applied","51,261"
"Total first-time, first-year (degree-seeking) who were admitted","3,695"
"Total first-time, first-year (degree-seeking) enrolled","2,038"
