0,1,2,3,4
ti t d b d t d,t l FU thLiL -lTiIMk E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",578,568,,
"Other first-year, degree-seeking",7,5,,
All other degree-seeking,"1,730","1,800",,
Total degree-seeking,"2,315","2,373",0,0.0
"All other undergraduates
enrolled in credit courses",,,49,36.0
Total undergraduates,"2,315","2,373",49,36.0
Graduate,,,,
"Degree-seeking, first-time",324,285,,
All other degree-seeking,1491,965,,
"All other graduates enrolled in
credit courses",10,4,,
Total graduate,1825,1254,0,0.0
Total all students,"4,140","3,627",49,36.0
