0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,129,546,
Hispanic/Latino,99,499,
"Black or African American, non-Hispanic",114,418,
"White, non-Hispanic",412,"1,702",
"American Indian or Alaska Native, non-Hispanic",0,9,
"Asian, non-Hispanic",296,"1,179",
"Native Hawaiian or other Pacific Islander, non-
Hispanic",2,5,
"Two or more races, non-Hispanic",81,277,
Race and/or ethnicity unknown,13,53,
TOTAL,"1,146","4,688",0
