0,1,2,3,4,5
,FULL‐TIME,,PART‐TIME,,
,Men,Women,Men,Women,
Undergraduates,,,,,
"Degree‐seeking, first‐time freshmen",591,626,0,0,1217.0
"Other first‐year, degree‐seeking",17,12,0,0,29.0
All other degree‐seeking (UG+UP),1535,1369,43,47,2994.0
Total degree‐seeking(UG+UP),2143,2007,43,47,4240.0
All other undergraduates enrolled in credit courses,0,6,1,0,7.0
Total undergraduates,2143,2013,44,47,4247.0
Graduate,,,,,
"Degree‐seeking, first‐time (GR+GQ)",869,501,46,22,1438.0
All other degree‐seeking,"1,479",829,144,82,2534.0
Total degree‐seeking (GR+GQ),2348,1330,190,104,3972.0
All other graduates enrolled in credit courses,12,2,30,22,66.0
Total graduate,2360,1332,220,126,4038.0
Total all undergraduates,,,,,4247.0
Total all graduate,,,,,4038.0
GRAND TOTAL ALL STUDENTS,,,,,8285.0
