0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,160,560,573
Hispanic/Latino,199,693,693
"Black or African American, non-Hispanic",100,355,355
"White, non-Hispanic",307,1263,1264
"American Indian or Alaska Native, non-Hispanic",4,5,5
"Asian, non-Hispanic",350,1320,1320
"Native Hawaiian or other Pacific Islander, non-Hispanic",0,3,3
"Two or more races, non-Hispanic",60,215,215
Race and/or ethnicity unknown,21,66,66
TOTAL,1201,4480,4494
