0,1,2,3,4,5
B. ENROLLMENT AND PERSISTENCE,,,,,
"B1 Institutional Enrollment - Men and Women
Provide numbers of students for each of the following categories as of the institution's official fall reporting date or
as of October 15, 2020.",,,,,
"African
B3",,FULL-TIME,,PART-TIME,
,,Men,Women,Men,Women
,Undergraduates,,,,
,"Degree-seeking, first-time
freshmen",778,828,,
,"Other first-year, degree-seeking",18,16,3,
,All other degree-seeking,"2,021","2,091",304,307
,Total degree-seeking,"2,817","2,935",307,307
,"All other undergraduates enrolled
in credit courses",,,,
,Total undergraduates,"2,817","2,935",307,307
,Graduate,,,,
,"Degree-seeking, first-time","1,047",929,38,31
,All other degree-seeking,"3,698","2,775",159,107
,"All other graduates enrolled in
credit courses",18,5,567,221
,Total graduate,"4,763","3,709",764,359
,Total all students,"7,580","6,644","1,071",666
,"Total all undergraduates (6,366)
Total all graduate 9,595
GRAND TOTAL ALL STUDENTS (15,961)
Enrollment by Racial/Ethnic Category.
Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall
reporting date or as of October 15, 2020.
• Include international students only in the category ""Nonresident aliens.""",,,,
,,,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates (both
degree- and non-
degree-seeking)"
,Nonresident aliens,,159,679,679
,Hispanic/Latino,,287,"1,082","1,082"
,"Black or African American, non-Hispanic",,133,473,473
,"White, non-Hispanic",,402,"1,846","1,846"
,"American Indian or Alaska Native, non-Hispanic",,12,62,62
,"Asian, non-Hispanic",,455,"1,579","1,579"
,"Native Hawaiian or other Pacific Islander, non-
Hispanic",,3,22,22
,"Two or more races, non-Hispanic",,153,609,609
,Race and/or ethnicity unknown,,2,14,14
,TOTAL,,"1,606","6,366","6,366"
,"Persistence
Number of degrees awarded by your institution from July 1, 2019, to June 30, 2020.
Certificate/diploma
Associate degrees
Bachelor's degrees 1697
Postbachelor's certificates
Master's degrees 2378
Post-Master's certificates
Doctoral degrees –
research/scholarship 770
Doctoral degrees – professional
practice 274
Doctoral degrees – other",,,,
