0,1,2,3,4,5
"C. FIRST-TIME, FIRST-YEAR ADMISSION",,,,,
"C1-C2: Applications
C1 First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were
admitted, and enrolled (full- or part-time) in Fall 2022.
• Include early decision, early action, and students who began studies during summer in this cohort.
• Applicants should include only those students who fulfilled the requirements for consideration for
admission (i.e., who completed actionable applications) and who have been notified of one of the
following actions: admission, non-admission, placement on waiting list, or application withdrawn (by
applicant or institution).
• Since the total may include students who did not provide gender data, the detail need not sum to the total.
• If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category.
• Note that recent high school graduates and other students without prior postsecondary experience will still be considered
""first-time students"" for fall enrollment reporting purposes even if they enrolled in the summer prior to fall enrollment.
Total first-time, first-year men who applied 28,379
Total first-time, first-year women who applied 27,999
Total first-time, first-year men who were admitted 948
Total first-time, first-year women who were admitted 1,127
Total full-time, first-time, first-year men who enrolled 794
Total part-time, first-time, first-year men who enrolled
Total full-time, first-time, first-year women who enrolled 942
Total part-time, first-time, first-year women who enrolled
C2 First-time, first-year wait-listed students
Students who met admission requirements but whose final admission was contingent on space availability",,,,,
C3,,Yes,No,,
,Do you have a policy of placing students on a waiting list?,X,,,
X,,,,,
,,,,,
,,,,,
C4,,,,,
,,,,,
X,,,,,
,,,,,
,,,,,
