0,1,2,3,4,5,6
"C. FIRST-TIME, FIRST-YEAR ADMISSION",,,,,,
"C8A If yes, place check marks in the appropriate boxes below to reflect your institutionʼs policies for use in admission for Fall 2023.",,,,,,
C8D,,ADMISSION,,,,
,,Require,Recommend,Require for Some,"Consider if
Submitted",Not Considered
,SAT or ACT,,,,X,
,ACT Only,,,,,
,SAT Only,,,,,
,"In addition, does your institution use applicants' test scores for academic advising?
Yes
No
Latest date by which SAT or ACT scores must be received for fall-term admission Jan 15
Latest date by which SAT Subject Test scores must be received for fall-term admission
If necessary, use this space to clarify your test policies (e.g., if Updated testing policy for Fall 2023 applicants
tests are recommended for some students, or if tests are not For the upcoming 2022–23 admission cycle, Stanford will not
required of some students due to differences by academic require ACT or SAT scores for first-year or transfer applicants.
program, student academic background, or if other We recognize the ongoing challenges created by the COVID-19
examinations may be considered in lieu of the SAT and ACT): pandemic, including limited access to admission testing
worldwide, and are extending this year's test-optional policy.
Please indicate which tests your institution uses for placement (e.g., state tests):
SAT
ACT
SAT Subject Tests
AP
CLEP
Institutional Exam
State Exam (specify):
C9-C12: First-time, first-year Profile
Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in
Fall 2022, including students who began studies during summer, international students/nonresidents, and students admitted
under special arrangements.
Percent and number of first-time, first-year students enrolled in Fall 2022 who submitted national standardized
(SAT/ACT) test scores.
• Include information for ALL enrolled, degree-seeking, first-time, first-year students who submitted
test scores.
• Do not include partial test scores (e.g., mathematics scores but not critical reading for a category of
students) or combine other standardized test results (such as TOEFL) in this item.
• Do not convert SAT scores to ACT scores and vice versa.
• If a student submitted multiple sets of scores for a single test, report this information according to how
you use the data. For example:
• If you consider the highest scores from either submission, use the highest combination of scores
(e.g., verbal from one submission, math from the other).
• If you average the scores, use the average to report the scores.",,,,,
,,,,,,
X,,,,,,
"C8E
C8F
C8G",,,,,,
,,,,,,
,,,,,,
,,,,,,
X,,,,,,
,,,,,,
,,,,,,
,,,,,,
C9,,,,,,
,,Percent,Number,,,
,Submitting SAT Scores,49%,855,,,
,Submitting ACT Scores,23%,405,,,
,Assessment,25th Percentile,50th Percentile,75th Percentile,,
,SAT Composite,"1,500","1,540","1,570",,
,SAT Evidence-Based Reading and,730,760,780,,
,SAT Math,770,790,800,,
,ACT Composite,33,35,35,,
,ACT Math,32,35,36,,
,ACT English,35,35,36,,
,ACT Writing,30,32,33,,
,ACT Science,33,35,36,,
,ACT Reading,34,35,36,,
,,,,,,
