0,1,2,3,4,5
G. ANNUAL EXPENSES,,,,,
"G0 Please provide the URL of your institutionʼs net price calculator:
https://financialaid.stanford.edu/undergrad/how/calculator/index.html#net-price-calculator
Provide 2023-2024 academic year costs of attendance for the following categories that are applicable to your institution.
Check here if your institution's 2023-2024 academic year costs of attendance are not available at this time and provide an
approximate date (i.e., month/day) when your institution's final 2023-2024 academic year costs of attendance will be available:
G1 Undergraduate full-time tuition, required fees, room and board
List the typical tuition, required fees, and room and board for a full-time undergraduate student for the FULL 2023-2024
academic year. (30 semester hours or 45 quarter hours for institutions that derive annual tuition by multiplying credit hour
cost by number of credits).
• A full academic year refers to the period of time generally extending from September to June; usually
equated to two semesters, two trimesters, three quarters, or the period covered by a four-one-four plan.
• Room and board is defined as double occupancy and 19 meals per week or the maximum meal plan.
• Required fees include only charges that all full-time students must pay that are not included in tuition
(e.g., registration, health, or activity fees.)
• Do not include optional fees (e.g., parking, laboratory use).",,,,,
"G1
G2
G3
G4
G5",,First-Year,Undergraduates,,
,PRIVATE INSTITUTIONS,,,,
,Tuition:,"$61,731","$61,731",,
,PUBLIC INSTITUTIONS,,,,
,Tuition: In-district,,,,
,Tuition: In-state (out-of-district):,,,,
,Tuition: Out-of-state:,,,,
,Tuition: Non-resident,,,,
,FOR ALL INSTITUTIONS,,,,
,Required Fees,$753,$753,,
,Room and Board (on-campus):,"$19,922","$19,922",,
,Room Only (on-campus):,,,,
,Board Only (on-campus meal plan):,,,,
,,Residents,Commuters,Commuters,
,Books and supplies:,$825,$825,$825,
,Room only:,,,,
,Board only:,,"$7,325",,
,Room and board total*,,,"$19,922",
,Transportation:,varies,"$1,611",varies,
,Other expenses:,"$4,602","$3,609","$4,602",
,* If your college cannot provide separate room,,,,
