0,1,2,3,4,5,6
B. ENROLLMENT AND PERSISTENCE,,,,,,
"B1. Institutional Enrollment
Provide numbers of students for each of the following categories as of the institutionʼs official fall reporting date or as of October 15, 2023.
1. Report students formaly designated as ""first professional"" in the graduate counts.
2. If your institution collects and reports non-binary gender data, please use the ""Another Gender"" category.
In cases where gender information is not provided, please distribute across the two binary categories.
For more information on how to report study abroad students, please see NCES.GOV documentation.",,,,,,
,Men,,Women,,Another Gender,
,"Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment","Full Time
Enrollment","Part Time
Enrollment"
UNDERGRADUATE STUDENTS,,,,,,
"Degree-seeking, first-time, first-year students",846,,853,,,
"Other first-year, degree-seeking students",,,,,,
All other degree-seeking undergraduate students,"2,943",,"3,199",,,
Total degree-seeking undergraduate students,"3,789",0,"4,052",0,0,0
All other undergraduates enrolled in credit courses,,111,,102,,
Total Undergraduate Students,"3,789",111,"4,052",102,0,0
"Total part-time undergraduate degree-seeking students 0
Total full-time undergraduate degree-seeking students 7,841
Total of all undergraduate degree-seeking students 7,841
Total of all undergraduate students enrolled 8,054",,,,,,
