0,1,2,3
,"Degree-Seeking
First-Time
First Year","Degree-Seeking
Undergraduates
(include first-time
first-year)","Total
Undergraduates
(both degree- and
non-degree-
seeking)"
Nonresident aliens,94,486,505
Hispanic/Latino,234,"1,018","1,018"
"Black or African American, non-Hispanic",80,305,305
"White, non-Hispanic","1,479","6,004","6,005"
"American Indian or Alaska Native, non-Hispanic",8,24,24
"Asian, non-Hispanic",152,438,438
"Native Hawaiian or other Pacific Islander, non-
Hispanic",5,11,11
"Two or more races, non-Hispanic",111,491,491
Race and/or ethnicity unknown,30,77,77
TOTAL,"2,193","8,854","8,874"
