0,1,2,3,4
ti t d b d t d,t l FU thLiL -lTiIMk E,,PART-TIME,
,Men Women,,Men Women,
Undergraduates,,,,
"Degree-seeking, first-time
freshmen",656,608,,
"Other first-year, degree-seeking",9,3,1,1
All other degree-seeking,"1,687","1,733",3,2
Total degree-seeking,"2,352","2,344",4,3
"All other undergraduates
enrolled in credit courses",,,,
Total undergraduates,"2,352","2,344",4,3
Graduate,,,,
"Degree-seeking, first-time",1086,1208,10,22
All other degree-seeking,2344,2571,42,73
"All other graduates enrolled in
credit courses",,,1,
Total graduate,3430,3779,53,95
Total all students,"5,782","6,123",57,98
