0,1,2,3
"d) Number of students in line c who were awarded any
financial aid",827,3204,
"e) Number of students in line d who were awarded any
need-based scholarship or grant aid",827,3204,
"f) Number of students in line d who were awarded any
need-based self-help aid",598,2670,
"g) Number of students in line d who were awarded any
non-need-based scholarship or grant aid",0,0,
"h) Number of students in line d whose need was fully met
(exclude PLUS loans, unsubsidized loans, and private
alternative loans)",827,3204,
"i) On average, the percentage of need that was met of
students who were awarded any need-based aid.
Exclude any aid that was awarded in excess of need as
well as any resources that were awarded to replace
EFC (PLUS loans, unsubsidized loans, and private
alternative loans)",100.0%,100.0%,
"j) The average financial aid package of those in line d.
Exclude any resources that were awarded to replace
EFC (PLUS loans, unsubsidized loans, and private
alternative loans)","$ 62,879","$ 61,610",
"Average need-based scholarship and grant award of
k)
those in line e","$ 61,067","$ 59,150",
"l) Average need-based self-help award (excluding PLUS
loans, unsubsidized loans, and private alternative loans)
of those in line f","$ 2,505","$ 2,951",
"m)Average need-based loan (excluding PLUS loans,
unsubsidized loans, and private alternative loans) of
those in line f who were awarded a need-based loan","$ 2,453","$ 3,108",
