0,1,2,3
Racial/Ethnic Category,"Degree-Seeking
First-Time First-
Year","Degree-Seeking Undergraduates
(include first-time first-year)","Total Undergraduates
(both degree & non-
degree-seeking)"
Nonresident Alien,188,724,724
"Hispanic or Latino of
Any Race",292,1070,1072
"Black or African
American",156,600,602
White,420,2206,2207
"American Indian or
Alaska Native",8,28,28
Asian,407,1555,1557
"Native Hawaiian or other
Pacific Islander",3,10,10
Two or more races,111,492,492
Unknown,56,126,126
TOTAL,1641,6811,6818
